numer ramki	temp_defekt_srednica10mm_glebokosc0,7mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
1	24.7934	24.8702	24.8134	24.8395	24.8444
2	24.8211	24.895	24.845	24.8081	24.8876
3	24.794	24.8702	24.8847	24.8122	24.8444
4	24.7987	24.8938	24.8169	24.7463	24.8308
5	24.7739	24.8804	24.848	24.7302	24.8273
6	24.8242	24.8656	24.8276	24.7527	24.8318
7	24.8211	24.9136	24.7956	24.7751	24.8876
8	24.7957	24.9063	24.8391	24.7364	24.8264
9	24.8113	24.8603	24.8125	24.7582	24.8193
10	24.8021	24.9301	24.8279	24.7361	24.8193
11	24.7812	24.9383	24.8776	24.7458	24.8525
12	24.8113	24.8746	24.8185	24.761	24.8404
13	24.7943	24.8656	24.8121	24.7461	24.8333
14	24.7699	24.895	24.8564	24.768	24.8345
15	24.7987	24.895	24.8905	24.762	24.8876
16	24.7903	24.8706	24.8391	24.8118	24.8766
17	24.8142	24.9	24.8053	24.81	24.8481
18	24.816	24.8728	24.791	24.7397	24.8333
19	24.7756	24.8822	24.8279	24.7733	24.8179
20	24.8263	24.9063	24.8323	24.711	24.855
21	24.7787	24.9106	24.8363	24.7524	24.8373
22	24.8016	24.876	24.8182	24.8118	24.8176
23	24.8873	24.8968	24.848	24.7333	24.8342
24	24.8126	24.8925	24.8272	24.7242	24.9013
25	24.8268	24.8597	24.8129	24.7409	24.8405
26	24.7859	24.9302	24.8318	24.7716	24.829
27	24.8035	24.9086	24.8248	24.7554	24.8372
28	24.7597	24.857	24.8161	24.7227	24.8334
29	24.7987	24.8871	24.8394	24.7426	24.8847
30	24.8263	24.883	24.8125	24.752	24.8411
31	24.7912	24.9	24.8134	24.8255	24.8318
32	24.8034	24.8697	24.7921	24.8087	24.8439
33	24.8034	24.8938	24.8408	24.7585	24.8388
34	24.8034	24.8785	24.8523	24.74	24.8444
35	24.8257	24.8739	24.8268	24.7363	24.8012
36	24.8211	24.8871	24.8381	24.7461	24.8345
37	24.8013	24.8787	24.8179	24.8347	24.8118
38	24.8016	24.9302	24.8067	24.7499	24.8156
39	24.7931	24.9134	24.8083	24.7684	24.8264
40	24.7581	24.9236	24.8112	24.768	24.8096
41	24.795	24.8733	24.8347	24.7641	24.8472
42	24.8011	24.8925	24.8141	24.7384	24.8548
43	24.8211	24.895	24.8529	24.7935	24.8165
44	24.7981	24.8702	24.8182	24.7776	24.8055
45	24.8016	24.8728	24.8339	24.7379	24.8048
46	24.799	24.9136	24.8206	24.7384	24.8585
47	24.8261	24.895	24.8542	24.761	24.8444
48	24.8326	24.9136	24.848	24.7278	24.8405
49	24.8431	24.9063	24.8688	24.7684	24.8411
50	24.8261	24.9045	24.8272	24.7994	24.8228
51	24.794	24.8785	24.8545	24.7461	24.8318
52	24.7813	24.935	24.8186	24.7361	24.8411
53	24.8412	24.8661	24.848	24.7899	24.8264
54	24.8083	24.9274	24.8079	24.799	24.8334
55	24.8493	24.945	24.8564	24.7461	24.855
56	24.8037	24.8879	24.8208	24.7585	24.8358
57	24.7719	24.8521	24.8112	24.7279	24.8155
58	24.8013	24.8734	24.8268	24.7461	24.8118
59	24.8009	24.8371	24.8123	24.768	24.7957
60	24.7581	24.9166	24.7881	24.7242	24.8444
61	24.8042	24.9235	24.8248	24.8337	24.8405
62	24.7982	24.8614	24.8158	24.8347	24.8092
63	24.7804	24.926	24.8064	24.8215	24.8358
64	24.7783	24.844	24.8061	24.8118	24.8118
65	24.8493	24.8709	24.797	24.7389	24.8048
66	24.8211	24.9071	24.8394	24.8118	24.9021
67	24.8265	24.9166	24.8529	24.7899	24.8333
68	24.7789	24.8666	24.8593	24.7617	24.8027
69	24.7889	24.8631	24.8027	24.7402	24.8658
70	24.7763	24.8656	24.8523	24.7461	24.8242
71	24.832	24.9215	24.8139	24.7994	24.8334
72	24.8326	24.9141	24.8317	24.7806	24.8444
73	24.7931	24.8633	24.8092	24.8118	24.8301
74	24.8034	24.8925	24.8083	24.7458	24.7901
75	24.8218	24.844	24.8347	24.7829	24.8444
76	24.7809	24.8545	24.8343	24.7278	24.8047
77	24.8261	24.8733	24.8061	24.7461	24.8221
78	24.8206	24.9405	24.7939	24.768	24.8127
79	24.8168	24.8702	24.8248	24.7333	24.8196
80	24.8034	24.8785	24.8158	24.7402	24.8228
81	24.795	24.8634	24.8912	24.8052	24.8481
82	24.8356	24.9	24.8461	24.772	24.8228
