numer ramki	temp_defekt_sreddnica10mm_glebokosc1mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
1	24.995	25.1132	25.1075	24.9805	25.0281
2	24.9935	25.1311	25.0935	24.9571	25.0473
3	24.9831	25.099	25.1253	24.9695	25.0466
4	24.9731	25.071	25.0717	24.9721	25.0291
5	24.9667	25.0701	25.0571	24.9585	25.0473
6	24.9952	25.0714	25.0956	24.9685	25.077
7	25.005	25.1268	25.1126	24.9536	25.0235
8	25.0037	25.1134	25.0709	24.9524	25.0641
9	24.9782	25.1455	25.1142	24.9367	25.0349
10	24.9792	25.1235	25.0869	24.9721	25.0349
11	24.9778	25.0922	25.0935	24.9772	25.0203
12	24.9832	25.0986	25.1649	25.0334	25.0457
13	25.0054	25.0698	25.099	24.9522	25.0349
14	25.0107	25.1031	25.1204	24.964	25.007
15	25.0204	25.0702	25.1081	24.9596	25.0733
16	24.998	25.0918	25.0772	24.9783	25.0668
17	25.0202	25.0655	25.0818	24.9608	25.0457
18	24.9831	25.1359	25.074	24.9687	25.0037
19	24.999	25.0998	25.0976	24.945	25.0892
20	24.9985	25.1244	25.0504	24.9608	25.0523
21	24.9786	25.095	25.0775	25.0417	25.0349
22	24.9952	25.0452	25.0704	24.9689	25.0102
23	24.9831	25.1087	25.0821	24.9434	25.0683
24	24.998	25.1329	25.0548	24.9474	25.0412
25	25.0349	25.0887	25.0652	24.9759	25.0733
26	25.0101	25.0924	25.1021	24.9426	25.0203
27	24.9683	25.0714	25.1002	24.9805	25.0458
28	24.9902	25.0887	25.0559	24.9571	25.0281
29	24.9778	25.0604	25.1075	24.9783	25.0255
30	24.9623	25.1132	25.0772	24.9647	25.0267
31	24.9803	25.0814	25.0571	24.9685	25.0281
32	24.999	25.071	25.0852	24.9586	25.0458
33	25.0192	25.0893	25.062	24.9783	25.0348
34	24.9791	25.0907	25.0821	24.9519	25.0281
35	25.0192	25.0706	25.1304	24.9686	25.0027
36	24.9693	25.0711	25.0787	24.965	25.048
37	24.9937	25.0923	25.1301	24.9502	25.0247
38	24.9873	25.0909	25.1085	24.9679	25.0671
39	25.0143	25.0924	25.0653	24.9533	25.0349
40	24.9731	25.0943	25.061	24.9581	25.0349
41	24.9873	25.0913	25.0763	24.9466	25.0275
42	24.9807	25.1064	25.0846	24.9593	25.0416
43	24.999	25.0913	25.0689	24.9608	25.0417
44	24.9952	25.0999	25.0956	24.9783	25.0615
45	24.9782	25.0714	25.0761	24.9809	25.0174
46	24.999	25.0923	25.0935	24.9586	25.0045
47	25.011	25.1049	25.0773	24.9591	25.0256
48	24.9781	25.0776	25.0764	25.0358	25.0886
49	24.9736	25.1305	25.1421	24.9689	25.0135
50	24.999	25.0926	25.0809	24.9808	25.0191
51	24.9937	25.0923	25.0509	24.95	25.0037
52	24.9745	25.0679	25.0935	24.955	25.0091
53	24.9942	25.0609	25.0643	24.9598	25.0312
54	25.0159	25.0923	25.0976	24.9721	25.0473
55	24.9997	25.084	25.0905	24.9598	25.0912
56	25.0408	25.1196	25.0633	24.9571	25.0312
57	24.9843	25.0917	25.074	24.9439	25.0162
58	25.0009	25.1129	25.071	24.9474	25.0386
59	25.0017	25.0785	25.0935	24.9736	25.0263
60	24.9997	25.1087	25.0869	24.9783	25.0466
61	25.0364	25.0943	25.0752	24.9714	25.0174
62	25.0224	25.0604	25.0489	24.9393	25.0205
63	24.981	25.0664	25.0849	24.9686	25.0135
64	24.9921	25.1105	25.071	24.9491	25.0835
65	24.999	25.0754	25.1074	24.9685	25.0312
66	25.0109	25.1134	25.0605	25.0334	25.0517
67	24.998	25.113	25.0852	24.9796	25.0526
68	25.0097	25.0609	25.0775	24.9819	24.9993
69	24.9617	25.1235	25.1498	24.952	25.0457
70	24.9623	25.0923	25.061	25.0021	25.0028
71	24.999	25.0634	25.0852	24.9896	25.0242
72	24.9952	25.12	25.0846	24.9597	25.0249
73	25.0404	25.1344	25.0836	24.9393	25.0242
74	24.957	25.0939	25.0605	24.936	25.0202
75	24.9736	25.0821	25.0557	24.9731	25.0607
76	24.9667	25.0685	25.0605	24.996	24.9925
77	25.0506	25.0714	25.0773	24.9961	25.0315
78	25.0039	25.1049	25.0859	24.9476	24.9936
79	24.9985	25.1032	25.0653	24.9586	25.0523
80	25.0554	25.0986	25.0524	24.9961	25.0157
81	24.9575	25.0686	25.0989	24.9652	25.0191
82	24.9592	25.0728	25.1068	24.9759	25.0136
83	24.981	25.073	25.061	24.9943	25.0191
84	24.9575	25.0821	25.1085	24.9848	25.0513
85	24.998	25.1049	25.072	24.9799	25.0396
86	24.9997	25.0853	25.072	24.9783	25.0702
87	24.9873	25.1071	25.083	24.9645	25.0562
88	25.0037	25.0788	25.1132	24.9902	25.0242
89	25.0079	25.1132	25.1087	24.9772	25.0777
90	24.9798	25.0865	25.0643	24.9536	25.0944
91	24.9997	25.0776	25.0709	24.936	25.0139
92	24.9848	25.0845	25.0639	25.0241	25.0249
93	24.9985	25.0519	25.0787	25.014	25.0349
94	25.0086	25.0821	25.0923	24.9571	25.0349
95	24.9697	25.1552	25.0761	24.9687	25.0281
96	24.9997	25.0611	25.1068	24.9569	25.0491
97	25.0079	25.0714	25.068	24.9466	25.0683
98	25.0349	25.0622	25.0754	24.9596	25.0281
99	25.0037	25.1031	25.0695	24.9687	25.0733
100	24.999	25.0604	25.0926	24.9796	25.0104
101	24.9955	25.1172	25.099	24.9483	25.0386
102	24.9802	25.0886	25.0613	24.9393	25.0242
103	24.9713	25.0714	25.0619	24.9553	25.0386
104	25.0408	25.0923	25.0935	24.9553	25.0349
105	24.9623	25.0734	25.1206	24.9519	25.0312
106	25.0177	25.0814	25.072	24.9441	25.0457
107	25.0038	25.1134	25.0859	24.9995	25.0671
108	25.0017	25.1042	25.072	24.9817	25.0473
109	24.9615	25.113	25.0852	24.9473	25.0393
