numer ramki	temp_defekt_srednica10mm_glebokosc3mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
1	24.8848	24.9417	24.9268	24.8268	24.9016
2	24.9502	24.9782	24.919	24.8353	24.9027
3	24.9313	24.9758	24.9237	24.8847	24.8776
4	24.903	24.9655	24.9527	24.8142	24.8954
5	24.9086	24.954	24.9174	24.869	24.9244
6	24.885	24.9758	24.9083	24.869	24.9016
7	24.9093	24.9677	24.9268	24.8057	24.9215
8	24.9075	24.9466	24.9149	24.8431	24.8776
9	24.9494	24.9572	25.0416	24.8514	24.9045
10	24.885	24.9755	24.9307	24.8279	24.9232
11	24.8679	24.9687	24.8985	24.8776	24.9078
12	24.9502	24.9496	24.9266	24.8304	24.9232
13	24.8771	24.9612	24.9165	24.8132	24.9169
14	24.9289	24.954	24.9006	24.8564	24.8824
15	24.8871	24.9621	24.9329	24.8905	24.8743
16	24.8846	24.987	24.9268	24.8179	24.8657
17	24.9086	24.961	24.9734	24.8625	24.9193
18	24.8948	24.9331	24.929	24.8208	24.9369
19	24.921	24.9677	24.9365	24.8279	24.9031
20	24.8957	24.9411	24.9321	24.8339	24.8951
21	24.8966	24.9677	24.9329	24.8609	24.9375
22	24.8733	24.9967	24.8742	24.8442	24.8813
23	24.8703	25.0098	24.9039	24.8834	24.8711
24	24.9075	24.9774	24.8976	24.8353	24.9441
25	24.8803	24.9409	24.9147	24.8623	24.9427
26	24.903	24.9655	24.9266	24.8318	24.8959
27	24.8878	24.9655	24.9114	24.8353	24.8823
28	24.9289	25.0122	24.9354	24.8419	24.8742
29	24.903	24.9616	24.9434	24.8134	24.9346
30	24.9304	24.9749	24.9121	24.8852	24.8622
31	24.9277	24.9634	24.9316	24.8479	24.9187
32	24.9309	24.9914	24.9321	24.8287	24.9232
33	24.9179	24.966	24.9743	24.8113	24.9022
34	24.9006	24.9771	24.9513	24.8841	24.9068
35	24.8703	24.9633	24.9388	24.8248	24.9022
36	24.8906	24.9734	24.9734	24.8901	24.9022
37	24.8862	24.9633	24.9514	24.8208	24.9232
38	24.8803	25.0122	24.9006	24.8268	24.9787
39	24.9289	24.9783	24.9321	24.8137	24.8614
40	24.8766	24.9799	24.8994	24.8268	24.9045
41	24.8954	24.9558	24.899	24.8347	24.8868
42	24.8536	24.9548	24.9122	24.8412	24.8805
43	24.8876	24.9544	24.9075	24.8901	24.8951
44	24.9008	24.9914	24.9208	24.8204	24.9127
45	24.8815	24.9459	24.8986	24.8093	24.9164
46	24.9075	24.962	24.8967	24.8201	24.8986
47	24.8734	24.954	24.9418	24.8542	24.9045
48	24.8751	24.9459	24.9408	24.8081	24.9068
49	24.879	24.9914	24.9388	24.849	24.8868
50	24.8871	24.9807	24.9122	24.8304	24.9395
51	24.8429	24.9758	24.8915	24.8401	24.9022
52	24.8656	24.9371	24.919	24.8398	24.9193
53	24.8706	24.9362	24.9497	24.8514	24.9402
54	24.8878	24.9548	24.9402	24.8389	24.8984
55	24.8675	24.9649	24.9704	24.8564	24.8954
56	24.852	24.9705	24.929	24.8412	24.8986
57	24.8862	25.0122	24.9329	24.8398	24.8813
58	24.876	24.9423	24.9307	24.8201	24.8868
59	24.8748	24.9758	24.9584	24.8187	24.9119
60	24.8815	25.0081	24.9174	24.8123	24.8984
61	24.8778	24.9981	24.9282	24.8248	24.9005
62	24.8848	24.9589	24.9122	24.8158	24.9042
63	24.9042	24.9749	24.9321	24.8261	24.8709
64	24.9502	24.9712	24.8876	24.8061	24.8984
